,sector,industry,market_cap,country,full_name,revenue_growth,earnings_growth,earnings_quarterly_growth,beta,52week_high,52week_low,52week_change,recommendation,recommendation_mean,target_mean_price,target_high_price,target_low_price,error
ELV,Healthcare,Healthcare Plans,107805471255.0254,United States,"Elevance Health, Inc.",0.123,0.22,0.17,0.532,458.75,273.71,-0.2618376,buy,1.85714,386.10526,507.0,297.0,
WMB,Energy,Oil & Gas Midstream,39521324857.609375,United States,"The Williams Companies, Inc.",0.083,-0.085,-0.084,0.641,65.55,51.58,0.021326542,buy,1.91304,67.03286,83.0,53.0,
CI,Healthcare,Healthcare Plans,84946555471.80176,United States,The Cigna Group,0.095,1.654,1.528,0.275,350.0,239.51,-0.16039592,buy,1.56,334.66583,378.0,270.0,
PWR,Industrials,Engineering & Construction,31283652290.75781,United States,"Quanta Services, Inc.",0.175,0.149,0.158,1.143,469.43,227.08,0.4112991,buy,1.93333,463.875,548.0,290.0,
COR,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
REGN,Healthcare,Biotechnology,95278606730.10254,United States,"Regeneron Pharmaceuticals, Inc.",0.009,0.18,0.089,0.386,844.51,476.49,-0.23100471,buy,1.68,750.5736,910.0,595.0,
MNST,Consumer Defensive,Beverages - Non-Alcoholic,59939749035.03418,United States,Monster Beverage Corporation,0.111,0.22,0.149,0.488,70.72,45.7,0.22832477,buy,2.16,68.63636,79.0,50.0,
MSI,Technology,Communication Equipment,51058595483.88672,United States,"Motorola Solutions, Inc.",0.078,0.012,0.0,0.988,507.82,388.9,-0.1596359,buy,1.85714,498.44443,525.0,465.0,
CSX,Industrials,Railroads,66766877777.15625,United States,CSX Corporation,-0.009,-0.196,-0.224,1.298,37.25,26.22,-0.028199553,buy,1.69231,39.29167,45.0,27.0,
VST,Utilities,Utilities - Independent Power Producers,13579961191.589355,United States,Vistra Corp.,0.105,-0.1,-0.104,1.39,219.82,90.51,0.4730748,buy,1.6,224.9765,288.0,86.0,
AEP,Utilities,Utilities - Regulated Electric,39970604163.94043,United States,"American Electric Power Company, Inc.",0.109,0.006,0.013,0.601,122.85,89.91,0.24987018,buy,2.45455,127.32353,139.0,108.5,
RSG,Industrials,Waste Management,50917445738.58496,United States,"Republic Services, Inc.",0.033,-0.022,-0.028,0.553,258.75,199.43,0.0032355785,buy,1.95833,248.86365,276.0,189.0,
ADSK,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
GM,Consumer Cyclical,Auto Manufacturers,48282991335.65918,United States,General Motors Company,-0.003,-0.496,-0.566,1.311,70.24,41.6,0.21471393,buy,2.03571,73.15385,100.0,46.0,
AJG,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
PYPL,Financial Services,Credit Services,66208579200.60889,United States,"PayPal Holdings, Inc.",0.073,0.313,0.236,1.433,93.66,55.85,-0.1883061,buy,2.45455,83.36061,120.0,66.0,
NSC,Industrials,Railroads,51415530201.293945,United States,Norfolk Southern Corporation,0.017,-0.349,-0.353,1.322,302.24,201.63,0.024548769,buy,2.40909,312.27777,361.0,285.0,
FTNT,Technology,Software - Infrastructure,44945772299.08984,United States,"Fortinet, Inc.",0.136,0.163,0.159,1.094,114.82,70.12,0.053790092,hold,2.62791,90.03706,120.0,67.0,
WDAY,Technology,Software - Application,72603779357.91016,United States,"Workday, Inc.",0.126,0.714,0.727,1.142,294.0,205.33,-0.07279587,buy,1.7,282.1535,340.0,230.0,
CL,Consumer Defensive,Household & Personal Products,62698807809.50391,United States,Colgate-Palmolive Company,0.019,0.011,-0.003,0.3,100.18,74.55,-0.15151852,buy,2.09524,87.26316,95.0,77.0,
HLT,Consumer Cyclical,Lodging,46485768138.42773,United States,Hilton Worldwide Holdings Inc.,0.035,0.29,0.221,1.166,279.81,196.04,0.049547553,buy,2.32,281.83334,322.0,234.0,
TRV,Financial Services,Insurance - Property & Casualty,42469827346.72852,United States,"The Travelers Companies, Inc.",0.048,0.52,0.498,0.549,287.95,230.23,0.09186852,hold,2.54167,295.0,322.0,233.0,
AZO,Consumer Cyclical,Auto Parts,44710111416.52832,United States,"AutoZone, Inc.",0.006,-0.056,-0.072,0.41,4388.11,3036.4,0.15001976,buy,1.55556,4574.3184,4900.0,3000.0,
CMI,Industrials,Specialty Industrial Machinery,32668985022.027344,United States,Cummins Inc.,-0.017,0.222,0.226,1.116,449.21,260.02,0.20429206,none,,444.74243,500.0,350.0,
SRE,Utilities,Utilities - Diversified,44460430098.2666,United States,Sempra,-0.004,-0.369,-0.348,0.735,95.77,61.9,0.047813296,buy,1.94118,95.66667,115.0,80.0,
FDX,Industrials,Integrated Freight & Logistics,60822278792.2793,United States,FedEx Corporation,0.139,-0.133,-0.107,1.341,308.53,194.3,-0.10062128,buy,1.9,267.7143,320.0,200.0,
SPG,Real Estate,REIT - Retail,49044766613.15918,United States,"Simon Property Group, Inc.",0.081,0.274,0.275,1.399,190.14,136.34,0.05172515,buy,2.35,188.4,225.0,169.0,
STX,Technology,Computer Hardware,17064538461.914062,Singapore,Seagate Technology Holdings plc,0.213,0.723,0.8,1.62,283.94,63.19,1.4313459,buy,1.73913,266.5,350.0,150.0,
AFL,Financial Services,Insurance - Life,46420435963.10449,United States,Aflac Incorporated,-0.19,-0.642,-0.659,0.66,115.43,96.95,0.002302885,hold,2.92308,110.0,127.0,99.0,
KMI,Energy,Oil & Gas Midstream,35474716953.653564,United States,"Kinder Morgan, Inc.",0.121,0.003,0.005,0.671,31.48,23.94,-0.01935482,buy,1.95238,31.05,38.0,25.0,
IDXX,Healthcare,Diagnostics & Research,46097842850.98535,United States,"IDEXX Laboratories, Inc.",0.133,0.214,0.179,1.687,735.0,356.14,0.7054461,buy,2.21429,748.5833,830.0,420.0,
FCX,Basic Materials,Copper,59374690891.85596,United States,Freeport-McMoRan Inc.,0.027,0.278,0.281,1.487,49.21,27.66,-0.15895027,buy,1.80952,47.71,58.0,25.0,
EOG,Energy,Oil & Gas E&P,66243247113.24414,United States,"EOG Resources, Inc.",-0.113,-0.166,-0.204,0.505,138.18,102.52,-0.17248428,buy,2.12121,137.13333,161.0,114.0,
DLR,Real Estate,REIT - Specialty,39470964189.95215,United States,"Digital Realty Trust, Inc.",0.111,0.603,0.325,1.118,198.0,129.95,-0.03081441,buy,1.73333,199.14815,220.0,161.0,
TFC,Financial Services,Banks - Regional,45078238850.09033,United States,Truist Financial Corporation,0.025,0.048,0.007,0.886,49.06,33.56,-0.069574475,buy,2.04762,50.55238,60.0,46.1,
WBD,Communication Services,Entertainment,27750926696.992188,United States,"Warner Bros. Discovery, Inc.",0.01,,,1.615,23.06,7.52,1.6968973,buy,2.04,20.97762,30.0,10.0,
MPC,Energy,Oil & Gas Refining & Marketing,54279746410.6626,United States,Marathon Petroleum Corporation,-0.008,1.412,1.203,0.714,201.61,115.1,0.18376815,buy,2.2,197.55556,220.0,158.0,
WDC,Technology,Computer Hardware,12796158830.415771,United States,Western Digital Corporation,,,,1.893,165.39,28.83,1.8799047,buy,1.57692,167.47826,200.0,62.0,
PSX,Energy,Oil & Gas Refining & Marketing,55131281364.44092,United States,Phillips 66,-0.029,-0.61,-0.616,0.916,142.35,91.01,0.061376095,buy,2.2381,146.8,170.0,129.0,
SLB,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
DDOG,Technology,Software - Application,39879881675.51953,United States,"Datadog, Inc.",0.281,-0.936,-0.94,1.233,170.08,81.63,0.22719133,buy,1.56522,169.51791,230.0,105.0,
LHX,Industrials,Aerospace & Defense,38545748190.30762,United States,"L3Harris Technologies, Inc.",0.069,0.171,0.155,0.652,308.12,193.09,0.13519204,buy,1.65,334.27777,369.0,279.0,
URI,Industrials,Rental & Leasing Services,38255476302.75879,United States,"United Rentals, Inc.",0.059,0.02,-0.01,1.671,1021.47,525.91,-0.031306803,buy,1.95455,1028.75,1400.0,600.0,
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,88549928338.375,United States,Zoetis Inc.,0.005,0.085,0.057,,181.85,119.07,-0.2694723,buy,1.83333,177.36267,215.0,130.0,
ROST,Consumer Cyclical,Apparel Retail,45732074168.47852,United States,"Ross Stores, Inc.",0.046,-0.019,-0.036,1.048,165.06,122.36,0.17057502,buy,1.75,166.23529,188.0,134.0,
APD,Basic Materials,Specialty Chemicals,58150410525.87891,United States,"Air Products and Chemicals, Inc.",0.012,0.024,0.025,0.871,341.14,235.55,-0.21504253,buy,1.86957,318.9524,350.0,275.0,
NXPI,Technology,Semiconductors,57396285176.9502,Netherlands,NXP Semiconductors N.V.,-0.024,-0.111,-0.121,1.463,255.45,148.09,-0.11651826,buy,1.53125,258.4344,292.0,210.0,
PCAR,Industrials,Farm & Heavy Construction Machinery,48621504914.21509,United States,PACCAR Inc,-0.19,-0.395,-0.393,1.023,118.81,84.65,-0.16455477,buy,2.26316,107.13333,127.0,90.0,
F,Consumer Cyclical,Auto Manufacturers,42949073646.24878,United States,Ford Motor Company,0.094,1.727,1.743,1.612,13.97,8.44,0.14298487,hold,2.90909,12.265,16.0,9.8,
MET,Financial Services,Insurance - Life,46132162601.46704,United States,"MetLife, Inc.",-0.027,-0.195,-0.229,0.752,89.05,65.21,-0.04552555,buy,1.88235,93.33333,108.0,72.0,
VLO,Energy,Oil & Gas Refining & Marketing,41957849391.17578,United States,Valero Energy Corporation,-0.032,2.096,2.008,0.761,178.43,99.0,0.21916223,buy,1.9,181.16667,216.0,138.0,
ALL,Financial Services,Insurance - Property & Casualty,35355725219.17627,United States,The Allstate Corporation,0.058,5.867,5.372,0.258,215.7,176.0,0.034270883,buy,1.91304,232.4,288.0,157.0,
O,Real Estate,REIT - Retail,37503479054.99292,United States,Realty Income Corporation,0.103,0.152,0.172,0.809,61.09,50.71,-0.015087724,hold,2.56,63.45238,75.0,59.0,
D,Utilities,Utilities - Regulated Electric,36122596567.5918,United States,"Dominion Energy, Inc.",0.149,0.062,0.077,0.687,62.52,48.07,0.039425254,hold,2.84211,64.13333,70.0,54.0,
BDX,Healthcare,Medical Instruments & Supplies,68524495609.48242,United States,"Becton, Dickinson and Company",0.104,0.19,0.179,0.285,251.99,163.33,-0.25418645,buy,2.46667,207.74333,270.0,183.0,
EA,Communication Services,Electronic Gaming & Multimedia,36466055885.44531,United States,Electronic Arts Inc.,-0.092,-0.514,-0.534,0.757,203.75,115.21,0.27108133,hold,2.73913,202.3579,250.0,160.0,
AXON,Industrials,Aerospace & Defense,19357647547.80884,United States,"Axon Enterprise, Inc.",0.328,-0.17,-0.129,1.369,885.92,450.72,0.53666866,buy,1.61111,823.6667,925.0,610.0,
NDAQ,Financial Services,Financial Data & Stock Exchanges,32772687368.38477,United States,"Nasdaq, Inc.",0.029,0.377,0.382,1.03,97.63,64.84,0.106714725,buy,1.95,102.66667,115.0,74.0,
PSA,Real Estate,REIT - Industrial,50172693631.166016,United States,Public Storage,0.031,0.213,0.188,0.985,355.87,256.6,-0.15151703,buy,1.95238,326.1579,350.0,295.0,
EW,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
CARR,Industrials,Building Products & Equipment,47150932712.95728,United States,Carrier Global Corporation,-0.068,0.005,-0.043,1.292,81.09,54.22,-0.2365349,buy,2.0,72.9425,90.0,60.0,
ROP,Technology,Software - Application,57559252160.03418,United States,"Roper Technologies, Inc.",0.143,0.082,0.083,0.939,595.17,435.42,-0.20429629,buy,1.88889,574.5333,704.0,460.0,
FAST,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
XEL,Utilities,Utilities - Regulated Electric,32105229716.400143,United States,Xcel Energy Inc.,0.074,-0.272,-0.232,0.454,83.01,62.58,0.2271018,buy,1.55556,88.35294,97.0,65.0,
MPWR,Technology,Semiconductors,29818999979.003902,United States,"Monolithic Power Systems, Inc.",0.189,0.258,0.234,1.464,1123.38,438.86,0.2197659,buy,1.5625,1180.9286,1300.0,920.0,
CBRE,Real Estate,Real Estate Services,28373178509.094727,United States,"CBRE Group, Inc.",0.135,0.658,0.613,1.342,171.0,108.45,0.17032456,buy,1.83333,175.27274,197.0,125.0,
EXC,Utilities,Utilities - Regulated Electric,33391802966.0542,United States,Exelon Corporation,0.09,0.238,0.238,,48.51,35.94,0.21033406,buy,2.42105,49.8125,57.0,42.0,
BKR,Energy,Oil & Gas Equipment & Services,33053026937.500977,United States,Baker Hughes Company,0.015,-0.208,-0.205,0.894,50.93,33.6,0.075573206,buy,1.82609,52.42857,58.0,40.0,
TTWO,Communication Services,Electronic Gaming & Multimedia,27372444080.99365,United States,"Take-Two Interactive Software, Inc.",0.124,,,0.954,264.79,165.35,0.51500416,strong_buy,1.40741,274.48572,316.0,150.0,
CAH,Healthcare,Medical Distribution,24146287861.90796,United States,"Cardinal Health, Inc.",0.224,0.106,0.082,0.644,200.14,113.65,0.6900848,buy,1.75,209.0,232.0,167.0,
GWW,Industrials,Industrial Distribution,40540417213.7207,United States,"W.W. Grainger, Inc.",0.061,-0.38,-0.395,1.112,1227.66,893.99,-0.200082,hold,2.89474,1059.2858,1233.0,930.0,
AME,Industrials,Specialty Industrial Machinery,37623777625.9458,United States,"AMETEK, Inc.",0.108,0.088,0.092,1.045,204.15,145.02,0.04066837,buy,1.88889,219.23529,246.0,180.0,
XYZ,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
CTVA,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
ETR,Utilities,Utilities - Regulated Electric,10065834976.434082,United States,Entergy Corporation,0.125,0.02,0.076,0.617,98.58,72.17,0.31767762,buy,1.81818,102.461,116.0,67.0,
AIG,Financial Services,Insurance - Diversified,45831018211.364746,United States,"American International Group, Inc.",0.083,,,0.622,88.07,69.24,0.047909617,buy,2.35,88.77778,99.0,79.0,
MSCI,Financial Services,Financial Data & Stock Exchanges,43807096997.65625,United States,MSCI Inc.,0.095,0.19,0.158,1.313,642.45,486.74,0.00013911724,buy,1.84211,655.0625,710.0,535.0,
DHI,Consumer Cyclical,Residential Construction,49758988403.32031,United States,"D.R. Horton, Inc.",-0.032,-0.224,-0.295,1.386,184.55,110.44,-0.12668705,buy,2.45,162.06667,195.0,110.0,
AMP,Financial Services,Asset Management,37567983522.2168,United States,"Ameriprise Financial, Inc.",0.073,0.866,0.785,1.263,582.05,396.14,-0.20342594,buy,2.5,533.1818,594.0,434.0,
CMG,Consumer Cyclical,Restaurants,1255298638.488388,United States,"Chipotle Mexican Grill, Inc.",0.075,0.022,-0.014,0.999,66.74,31.01,-0.44981802,buy,1.69444,44.09091,55.0,34.0,
LVS,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
KR,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
OKE,Energy,Oil & Gas Midstream,37017482914.673584,United States,"ONEOK, Inc.",0.719,0.262,0.355,0.935,118.07,64.02,-0.37074363,buy,2.05,89.36842,114.0,72.0,
TGT,Consumer Defensive,Discount Stores,61928314672.12207,United States,Target Corporation,-0.009,-0.202,-0.216,1.125,158.42,85.36,-0.38909632,hold,2.75676,101.36364,130.0,80.0,
PAYX,Technology,Software - Application,40717647323.50781,United States,"Paychex, Inc.",0.168,-0.102,-0.102,0.894,161.24,113.15,-0.22511607,hold,3.17647,134.7143,150.0,122.0,
YUM,Consumer Cyclical,Restaurants,35433226516.81201,United States,"Yum! Brands, Inc.",0.084,0.044,0.039,,163.3,122.13,0.11297166,buy,2.37931,164.64,200.0,144.0,
CPRT,Industrials,Specialty Business Services,47051317824.0,United States,"Copart, Inc.",0.052,0.242,0.229,1.111,64.38,41.83,-0.22709233,none,,56.0,65.0,46.0,
ROK,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
A,Healthcare,Diagnostics & Research,40204296888.24463,United States,"Agilent Technologies, Inc.",0.101,0.216,0.191,1.279,153.84,96.43,0.060240984,buy,2.0,149.9,170.0,122.5,
PEG,Utilities,Utilities - Regulated Electric,28825723874.98535,United States,Public Service Enterprise Group Incorporated,0.221,0.192,0.196,0.607,95.22,74.67,-0.023744166,buy,2.38095,90.85294,109.0,71.0,
GRMN,Technology,Scientific & Technical Instruments,23889662762.646484,Switzerland,Garmin Ltd.,0.117,0.005,0.006,1.006,261.69,169.26,-0.02012688,hold,3.0,231.14285,305.0,185.0,
FANG,Energy,Oil & Gas E&P,26018015059.467773,United States,"Diamondback Energy, Inc.",0.546,0.1,0.545,0.616,186.07,114.0,-0.24071449,strong_buy,1.4,178.3793,222.0,143.0,
OXY,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
CCI,Real Estate,REIT - Specialty,45301920839.460205,United States,Crown Castle Inc.,-0.351,0.066,0.066,0.961,115.76,84.2,-0.12708998,buy,1.9,116.06105,127.0,102.0,
DAL,Industrials,Airlines,25306948374.868164,United States,"Delta Air Lines, Inc.",0.064,0.102,0.114,1.387,69.98,34.74,-0.107028246,strong_buy,1.36364,71.74762,90.0,32.0,
VMC,Basic Materials,Building Materials,29987921368.95752,United States,Vulcan Materials Company,0.144,0.808,0.806,1.066,311.74,215.08,0.0062316656,buy,1.73913,316.13043,370.0,198.0,
XYL,Industrials,Specialty Industrial Machinery,27022948974.59412,United States,Xylem Inc.,0.078,0.045,0.046,1.168,154.27,100.47,0.20981169,buy,1.95455,163.23529,182.0,115.0,
EBAY,Consumer Cyclical,Internet Retail,21950403190.6128,United States,eBay Inc.,0.095,0.054,-0.003,1.343,101.15,58.71,0.33726263,hold,2.69697,94.93103,115.0,62.0,
PRU,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
MLM,Basic Materials,Building Materials,30535465391.89453,United States,"Martin Marietta Materials, Inc.",-0.023,0.159,0.141,,665.18,441.95,0.012878418,buy,1.86364,664.087,754.0,440.0,
WEC,Utilities,Utilities - Regulated Electric,24905149975.015625,United States,"WEC Energy Group, Inc.",0.129,0.093,0.13,0.556,118.19,91.94,0.16519117,buy,2.31579,122.61765,136.0,106.0,
FICO,Technology,Software - Application,28766877777.34375,United States,Fair Isaac Corporation,0.198,0.465,0.44,1.296,2402.52,1300.0,-0.23176265,buy,1.85,2016.599,2400.0,1230.0,
KDP,Consumer Defensive,Beverages - Non-Alcoholic,44052109743.01318,United States,Keurig Dr Pepper Inc.,0.107,0.083,0.075,0.362,36.12,25.03,-0.19769555,buy,1.77778,35.4375,42.0,30.0,
CTSH,Technology,Information Technology Services,36838204883.387695,United States,Cognizant Technology Solutions Corporation,0.074,-0.521,-0.529,0.974,90.82,65.15,-0.0829975,buy,2.2963,84.86478,103.0,70.0,
RMD,Healthcare,Medical Instruments & Supplies,24906487117.858887,United States,ResMed Inc.,0.091,0.123,0.119,0.87,293.81,199.92,0.0031348467,buy,2.0,293.46667,335.0,225.0,
PCG,Utilities,Utilities - Regulated Electric,45500646763.8457,United States,PG&E Corporation,0.052,0.378,0.429,0.372,21.72,12.97,-0.20197529,buy,1.64706,21.23333,25.0,18.0,
IQV,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
OTIS,Industrials,Specialty Industrial Machinery,35570615914.27344,United States,Otis Worldwide Corporation,0.04,-0.291,-0.307,1.004,106.828,84.25,-0.09805089,buy,2.46667,102.28571,112.0,92.0,
CCL,Consumer Cyclical,Travel Services,24218061002.63672,United States,Carnival Corporation & plc,0.033,0.06,0.067,2.527,32.8,15.07,0.07758975,buy,1.67857,35.84091,43.0,26.0,
VTR,Real Estate,REIT - Healthcare Facilities,18970512995.519287,United States,"Ventas, Inc.",0.218,2.016,2.432,0.802,75.61,56.68,0.18506801,buy,1.52381,79.25,85.0,70.0,
SYY,Consumer Defensive,Food Distribution,34945104174.77417,United States,Sysco Corporation,0.032,0.0,-0.029,0.623,83.47,67.12,-0.050772607,buy,2.05263,86.9375,98.0,80.0,
EQT,Energy,Oil & Gas E&P,15481710878.631592,United States,EQT Corporation,0.514,,,0.632,61.02,38.73,0.38895798,buy,1.66667,63.40741,80.0,46.0,
HIG,Financial Services,Insurance - Property & Casualty,23458828796.621094,United States,"The Hartford Insurance Group, Inc.",0.07,0.473,0.408,0.637,135.17,104.93,0.09612751,buy,2.2381,141.5,163.0,120.0,
WAB,Industrials,Railroads,22536518396.575928,United States,Westinghouse Air Brake Technologies Corporation,0.084,0.11,0.095,0.995,216.1,151.81,0.0202595,buy,1.63636,231.5,257.0,204.0,
TRGP,Energy,Oil & Gas Midstream,18531285423.828125,United States,Targa Resources Corp.,0.196,1.158,1.108,0.902,218.51,144.14,-0.16915715,strong_buy,1.31818,205.05,240.0,185.0,
FI,Technology,Information Technology Services,79728703916.61328,United States,"Fiserv, Inc.",0.009,0.49,0.404,0.794,238.59,63.5,-0.694839,buy,2.48571,100.15714,250.0,50.0,
ED,Utilities,Utilities - Regulated Electric,29567334986.724854,United States,"Consolidated Edison, Inc.",0.116,0.172,0.218,0.365,114.87,87.28,-0.010105073,hold,3.17647,104.33333,128.0,90.0,
GEHC,Healthcare,Health Information Services,35083848819.83008,United States,GE HealthCare Technologies Inc.,0.058,-0.041,-0.051,1.273,94.8,57.65,-0.14381194,buy,1.77273,88.44048,108.0,73.0,
HSY,Consumer Defensive,Confectioners,36141901108.1543,United States,The Hershey Company,0.065,-0.382,-0.381,0.187,208.03,140.13,-0.06147492,hold,2.82609,188.15,220.0,131.0,
NRG,Utilities,Utilities - Independent Power Producers,11252471372.589111,United States,"NRG Energy, Inc.",0.012,,,1.25,180.54,79.57,0.8182703,buy,1.92308,207.22726,342.0,144.0,
NUE,Basic Materials,Steel,41629510185.94482,United States,Nucor Corporation,0.145,1.505,1.429,1.867,170.52,97.59,-0.13979971,strong_buy,1.5,166.66667,180.0,147.0,
KMB,Consumer Defensive,Household & Personal Products,38519092938.48047,United States,Kimberly-Clark Corporation,0.001,-0.502,-0.508,0.252,150.45,99.28,-0.23549074,hold,2.72222,128.625,162.0,100.0,
FIS,Technology,Information Technology Services,34372855335.282715,United States,"Fidelity National Information Services, Inc.",0.051,,,0.935,89.57,59.51,-0.26943547,buy,2.07692,82.65,93.0,65.0,
MCHP,Technology,Semiconductors,46665081025.85156,United States,Microchip Technology Incorporated,-0.134,,,1.451,77.2,34.13,-0.19322032,buy,1.73077,76.4,90.0,60.0,
EL,Consumer Defensive,Household & Personal Products,50499515450.08447,United States,The Estée Lauder Companies Inc.,0.036,,,1.174,104.53,48.37,0.46776235,buy,2.46154,101.86957,122.0,61.0,
STT,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
VICI,Real Estate,REIT - Diversified,29928011531.973267,United States,VICI Properties Inc.,0.044,0.014,0.04,0.711,34.03,27.98,-0.02764386,strong_buy,1.5,36.65217,44.0,34.0,
ACGL,Financial Services,Insurance - Diversified,26354611978.271484,Bermuda,Arch Capital Group Ltd.,0.082,0.391,0.366,0.453,103.17,82.45,-0.13992131,buy,2.22222,107.47059,125.0,84.0,
HUM,Healthcare,Healthcare Plans,55151387358.12378,United States,Humana Inc.,0.096,-0.198,-0.197,0.455,315.35,206.87,-0.023014784,hold,2.55556,295.375,353.0,235.0,
IBKR,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
KEYS,Technology,Scientific & Technical Instruments,27847907136.246094,United States,"Keysight Technologies, Inc.",0.111,-0.505,-0.509,1.203,187.12,121.43,0.10658014,buy,1.91667,188.0,200.0,157.0,
RJF,Financial Services,Asset Management,22711195139.161865,United States,"Raymond James Financial, Inc.",0.074,0.034,0.003,1.006,177.66,117.57,-0.016356766,buy,2.5,184.41667,200.0,171.0,
HPE,Technology,Communication Equipment,21054575729.37012,United States,Hewlett Packard Enterprise Company,0.185,-0.452,-0.404,1.338,26.44,11.965,0.10454762,buy,2.13636,26.51211,31.0,21.0,
KVUE,Consumer Defensive,Household & Personal Products,38548204556.34619,United States,Kenvue Inc.,-0.035,0.038,0.039,0.658,25.17,14.02,-0.29022223,hold,2.57143,19.41667,23.0,17.0,
UAL,Industrials,Airlines,13533898679.5177,United States,"United Airlines Holdings, Inc.",0.026,0.0,-0.017,1.312,116.0,52.0,0.036423802,strong_buy,1.40909,123.2,156.0,62.0,
IR,Industrials,Specialty Industrial Machinery,31257386528.77539,United States,Ingersoll Rand Inc.,0.051,0.13,0.102,1.331,106.03,65.61,-0.24995142,buy,2.0625,88.13333,100.0,75.0,
LYV,Communication Services,Entertainment,21558418899.75196,United States,"Live Nation Entertainment, Inc.",0.163,-0.6,-0.183,1.21,175.25,112.88,0.19652355,buy,1.61905,171.55,190.0,135.0,
WTW,Financial Services,Insurance Brokers,24392997489.624023,United Kingdom,Willis Towers Watson Public Limited Company,-0.0,,,0.636,352.79,292.97,0.01733315,buy,1.95,368.22223,408.0,325.0,
LEN,Consumer Cyclical,Residential Construction,39343643689.259766,United States,Lennar Corporation,-0.064,-0.462,-0.492,1.407,174.36592,98.42,-0.25510108,hold,2.63158,127.5,161.0,92.0,
EME,Industrials,Engineering & Construction,10087115158.062744,United States,"EMCOR Group, Inc.",0.164,0.133,0.093,1.159,778.64,320.89,0.30409658,buy,1.66667,758.5,900.0,675.0,
FSLR,Technology,Solar,18407084189.575195,United States,"First Solar, Inc.",0.797,0.457,0.457,1.59,281.55,116.56,0.35398412,buy,1.61765,268.446,335.0,150.0,
ODFL,Industrials,Trucking,21884945830.74951,United States,"Old Dominion Freight Line, Inc.",-0.043,-0.105,-0.122,1.271,233.26,133.69,-0.38587195,buy,2.48,156.95454,181.0,138.0,
CSGP,Real Estate,Real Estate Services,35686843019.875,United States,"CoStar Group, Inc.",0.204,,,0.84,97.43,63.82,-0.06785095,buy,2.0,93.41176,105.0,70.0,
VRSK,Industrials,Consulting Services,34467449501.92139,United States,"Verisk Analytics, Inc.",0.059,0.045,0.025,0.817,322.92,197.0,-0.21183676,buy,2.26316,252.17647,315.0,195.0,
MTD,Healthcare,Diagnostics & Research,26301581200.97656,United States,Mettler-Toledo International Inc.,0.039,-0.059,-0.088,1.405,1454.68,946.69,0.015849113,buy,2.38462,1343.3636,1600.0,1150.0,
IRM,Real Estate,REIT - Specialty,19376555659.085938,United States,Iron Mountain Incorporated,0.116,,,1.132,125.38,72.33,-0.0971688,buy,1.72727,115.45455,140.0,44.0,
TER,Technology,Semiconductor Equipment & Materials,16463345960.25708,United States,"Teradyne, Inc.",0.043,-0.157,-0.179,1.848,188.94,65.77,0.61146784,buy,2.0,172.625,215.0,117.0,
CHTR,Communication Services,Telecom Services,57493544516.60156,United States,"Charter Communications, Inc.",-0.009,-0.054,-0.112,1.054,437.06,214.83,-0.45858043,hold,2.71429,314.9412,479.0,200.0,
K,Consumer Defensive,Packaged Foods,18226696714.576904,United States,Kellanova,0.008,-0.162,-0.158,0.251,83.42,76.48,0.027798414,hold,3.0,83.39286,83.5,83.0,
ROL,Consumer Cyclical,Personal Services,20673455251.893555,United States,"Rollins, Inc.",0.12,0.205,0.194,0.791,60.28,45.34,0.22624433,buy,2.14286,60.5,72.0,46.0,
KHC,Consumer Defensive,Packaged Foods,41480039477.89063,United States,The Kraft Heinz Company,-0.023,,,0.076,34.08,23.895,-0.27678037,hold,2.95,27.13158,51.0,24.0,
TSCO,Consumer Cyclical,Specialty Retail,4517300556.838989,United States,Tractor Supply Company,0.072,0.092,0.074,0.72,63.99,46.85,-0.08202112,buy,2.06452,63.51852,70.0,48.0,
