,sector,industry,market_cap,country,full_name,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,enterprise_value,ev_to_ebitda,dividend_yield,dividend_rate,payout_ratio,five_year_avg_dividend_yield,profit_margins,operating_margins,gross_margins,roe,roa,revenue_growth,earnings_growth,earnings_quarterly_growth,beta,52week_high,52week_low,52week_change,current_ratio,quick_ratio,debt_to_equity,total_debt,total_cash,recommendation,recommendation_mean,target_mean_price,target_high_price,target_low_price,number_of_analysts,employees,exchange,quote_type,main_cluster,n_clusters
CDNS,Technology,Software - Application,90529357824,United States,"Cadence Design Systems, Inc.",89.98619,47.554745,,17.729822,17.78822,88240807936.0,49.383,,,0.0,,0.19884,0.29354,0.85570997,0.21839,0.11731,0.202,-0.298,-0.303,0.988,376.45,221.56,0.23290157,2.821,2.509,49.498,2478145024.0,3000955904.0,buy,1.70833,370.84042,410.0,200.0,24.0,13152.0,NMS,EQUITY,cube2_cluster0,2
WM,Industrials,Waste Management,87861321728,United States,"Waste Management, Inc.",32.264793,27.027262,,9.543625,3.6685312,111442321408.0,15.882,1.52,3.3,0.4674,1.53,0.11361,0.1846,0.39716,0.32691002,0.06966,0.19,0.065,0.068,0.642,242.58,199.69,0.015435696,0.857,0.752,261.03,24020000768.0,440000000.0,buy,2.0,255.0,277.0,198.0,22.0,61700.0,NYQ,EQUITY,cube2_cluster0,2
COIN,Financial Services,Financial Data & Stock Exchanges,91724349440,United States,"Coinbase Global, Inc.",34.361168,95.672264,,7.2414446,13.677867,84914282496.0,42.036,,,0.0,,0.42666,0.14428,0.84535,0.27961,0.0076099997,0.029,36.934,38.527,3.684,444.65,142.58,0.8182235,2.125,0.948,38.83,4696446976.0,7539387904.0,buy,2.26471,374.6738,510.0,185.0,29.0,3772.0,NMS,EQUITY,cube3_cluster1,2
ORLY,Consumer Cyclical,Auto Parts,87437590528,United States,"O'Reilly Automotive, Inc.",36.935486,2.2930574,,-71.16713,5.1067333,95551913984.0,25.292,,,0.0,,0.14155,0.20209,0.51397,,0.13619,0.059,0.114,0.073,0.598,108.72,76.21933,0.2968067,0.724,0.086,,8312948224.0,198612992.0,buy,1.64286,108.13043,125.0,62.0,23.0,92810.0,NMS,EQUITY,cube3_cluster0,2
AMT,Real Estate,REIT - Specialty,87333535744,United States,American Tower Corporation,34.22202,27.468334,,23.519547,8.512372,137236832256.0,20.713,3.71,6.8,1.2411,2.68,0.12601,0.45655,0.74371004,0.24281,0.04538,0.032,-0.595,-0.593,0.866,234.33,172.51,-0.20149934,0.614,0.534,431.469,45213200384.0,2076000000.0,buy,1.72727,243.42105,270.0,217.0,19.0,4691.0,NYQ,EQUITY,cube2_cluster0,2
MCO,Financial Services,Financial Data & Stock Exchanges,86316343296,United States,Moody's Corporation,40.339478,36.12988,,21.858109,11.81283,91574345728.0,27.053,0.79,3.76,0.3044,0.8,0.29178,0.44679,0.7278,0.5302,0.1275,0.045,0.063,0.047,1.412,531.93,378.71,-0.027628362,1.753,1.566,179.869,7389000192.0,2289999872.0,buy,2.0,544.1429,597.0,440.0,21.0,15913.0,NYQ,EQUITY,cube2_cluster0,2
RCL,Consumer Cyclical,Travel Services,85253046272,United States,Royal Caribbean Cruises Ltd.,22.776487,21.96361,,9.297902,4.9611874,104446058496.0,16.876,1.31,4.0,0.1822,2.52,0.20966999,0.29374,0.50035,0.46622002,0.07515,0.104,0.417,0.417,2.088,366.5,164.01,0.5127952,0.232,0.105,210.865,19736999936.0,735000000.0,buy,1.73077,356.0,420.0,218.0,23.0,105950.0,NYQ,EQUITY,cube3_cluster1,2
SHW,Basic Materials,Specialty Chemicals,83593977856,United States,The Sherwin-Williams Company,32.999016,26.23396,,18.923634,3.6219387,96587071488.0,22.414,0.95,3.16,0.29860002,0.84,0.11026,0.17459999,0.48865002,0.62431,0.093389995,0.007,-0.143,-0.152,1.203,400.42,308.84,-0.14512932,0.784,0.424,308.571,13579899904.0,273900000.0,buy,2.07407,378.1905,420.0,258.0,21.0,63890.0,NYQ,EQUITY,cube2_cluster0,2
SNPS,Technology,Software - Infrastructure,83215409152,United States,"Synopsys, Inc.",60.62295,29.842638,,2.9802954,12.931077,94974091264.0,72.43,,,0.0,,0.31042,0.095,0.81128,0.065019995,0.02305,0.14,-0.427,-0.406,1.097,651.73,365.74,-0.13439989,1.625,1.396,54.828,15140314112.0,2593710080.0,buy,1.73913,556.4,630.0,425.0,23.0,20000.0,NMS,EQUITY,cube2_cluster1,2
MMM,Industrials,Conglomerates,81242005504,United States,3M Company,21.15534,19.307594,,18.938416,3.302252,90109345792.0,15.549,1.93,2.92,0.39720002,4.06,0.16011,0.17781,0.4111,0.9476,0.07322,0.014,-0.351,-0.369,1.108,164.15,121.98,0.11323953,1.72,1.021,316.755,13781999616.0,4214000128.0,buy,2.05882,163.0625,188.0,101.0,16.0,61500.0,NYQ,EQUITY,cube3_cluster0,2
CI,Healthcare,Healthcare Plans,80646979584,United States,The Cigna Group,16.208693,9.646552,,2.0029833,0.30778587,106488979456.0,9.335,2.04,6.04,0.3191,1.41,0.01915,0.03674,0.098579995,0.13182999,0.0398,0.11,0.048,-0.01,0.462,358.88,256.89,-0.1531648,0.788,0.642,76.102,30768001024.0,5142000128.0,buy,1.58333,367.3325,428.0,300.0,24.0,71295.0,NYQ,EQUITY,cube2_cluster0,2
MDLZ,Consumer Defensive,Confectioners,80392830976,United States,"Mondelez International, Inc.",22.429604,18.113703,,3.0686028,2.1666307,100447830016.0,17.138,3.27,2.0,0.6886,2.32,0.098129995,0.13001001,0.32548,0.13545999,0.03931,0.077,0.095,0.067,0.457,72.7,53.95,-0.14805013,0.641,0.309,81.933,21504999424.0,1504000000.0,buy,1.84615,72.875,88.0,65.0,24.0,90000.0,NMS,EQUITY,cube2_cluster0,2
EQIX,Real Estate,REIT - Specialty,79995977728,United States,"Equinix, Inc.",79.36116,61.092674,,5.6799593,8.957113,98209980416.0,26.023,2.33,18.76,1.7600999,1.78,0.1113,0.22575001,0.50039,0.07512,0.03131,0.054,0.187,0.223,0.907,994.03,701.41,-0.08170563,1.544,1.151,154.895,21851000832.0,3660000000.0,buy,1.67857,959.65216,1200.0,804.0,23.0,13606.0,NMS,EQUITY,cube1_cluster1,2
ELV,Healthcare,Healthcare Plans,79132164096,United States,"Elevance Health, Inc.",14.9013605,10.02804,,1.8023058,0.4181268,74443489280.0,7.847,1.95,6.84,0.2834,1.24,0.02832,0.0529,0.26835,0.124180004,0.04651,0.14,-0.216,-0.242,0.59,497.34,273.71,-0.27373058,1.445,1.319,68.838,30186000384.0,34792001536.0,buy,1.7619,376.3684,507.0,297.0,19.0,104200.0,NYQ,EQUITY,cube2_cluster1,2
AJG,Financial Services,Insurance Brokers,77865140224,United States,Arthur J. Gallagher & Co.,45.0638,26.92642,,3.3825202,6.740695,76982468608.0,23.492,0.87,2.6,0.3782,1.06,0.14207,0.17899,0.43729,0.09507,0.0211,0.117,0.102,0.291,0.73,351.23,275.56,0.036269426,1.36,0.448,58.011,13375099904.0,14302199808.0,buy,1.94444,341.6,388.0,280.0,15.0,55493.0,NYQ,EQUITY,cube2_cluster0,2
HWM,Industrials,Aerospace & Defense,77815472128,United States,Howmet Aerospace Inc.,55.628242,60.892742,,15.637557,10.078419,80753475584.0,38.145,0.23,0.44,0.105299994,,0.18094,0.25037,0.32535,0.29982,0.105749995,0.092,0.538,0.53,1.454,198.48,98.83,0.8284092,2.309,0.904,67.989,3428000000.0,545000000.0,strong_buy,1.42857,210.60056,225.0,190.0,18.0,23930.0,NYQ,EQUITY,cube4_cluster0,2
AON,Financial Services,Insurance Brokers,77735542784,Ireland,Aon plc,29.769613,20.73088,,9.914744,4.6403737,94930542592.0,17.871,0.84,2.98,0.2334,0.75,0.15538,0.23080999,0.46574003,0.37410998,0.052589998,0.105,0.081,0.105,0.887,412.97,323.73,-0.012657523,1.028,0.23,224.725,18178000896.0,1228999936.0,buy,2.09524,415.1442,448.0,349.0,19.0,60000.0,NYQ,EQUITY,cube2_cluster0,2
ECL,Basic Materials,Specialty Chemicals,77438107648,United States,Ecolab Inc.,36.115078,36.404,,11.639099,4.9248667,83711377408.0,22.484,0.96,2.6,0.3369,1.04,0.13585,0.14715,0.44013,0.24410999,0.07688,0.178,,,1.096,286.04,221.62,0.04635048,1.442,1.051,103.915,7000000000.0,1402400000.0,buy,2.08,288.3158,325.0,245.0,19.0,48000.0,NYQ,EQUITY,cube3_cluster0,2
MSI,Technology,Communication Equipment,76741083136,United States,"Motorola Solutions, Inc.",36.76137,31.356026,,38.992634,6.9179735,81883086848.0,24.881,0.96,4.36,0.3419,1.17,0.19075,0.26727,0.5151,1.51517,0.12409,0.052,0.169,0.158,0.969,507.82,388.9,-0.03624767,1.728,1.45,419.96,8332000256.0,3206000128.0,none,,502.77777,525.0,465.0,9.0,21000.0,NYQ,EQUITY,cube2_cluster0,2
WMB,Energy,Oil & Gas Midstream,76543401984,United States,"The Williams Companies, Inc.",31.654821,29.837322,,6.1390038,6.7361965,106223624192.0,17.625,3.19,2.0,0.98480004,5.12,0.21375999,0.34425998,0.6016,0.17393999,0.042680003,0.114,0.359,0.362,0.665,65.55,50.29,0.23143423,0.536,0.375,192.989,28572000256.0,903000000.0,buy,1.91667,66.57682,83.0,44.0,22.0,5829.0,NYQ,EQUITY,cube3_cluster0,2
CTAS,Industrials,Specialty Business Services,75643363328,United States,Cintas Corporation,41.828888,40.220085,,15.948991,7.165426,78180491264.0,28.134,0.96,1.8,0.36,0.93,0.17538,0.22731,0.50097,0.42187,0.15977,0.087,0.091,0.087,1.002,229.24,180.78,-0.1080209,2.239,1.034,56.254,2675266048.0,138143008.0,hold,2.75,217.4375,255.0,172.0,16.0,48300.0,NMS,EQUITY,cube2_cluster0,2
BK,Financial Services,Banks - Diversified,75538341888,United States,The Bank of New York Mellon Corporation,16.253414,16.402756,,1.9559898,3.9197936,-52163657728.0,,1.99,2.12,0.2875,2.77,0.25842,0.36908,0.0,0.116809994,0.0109399995,0.097,0.27,0.218,1.127,110.87,70.46,0.39446414,,,,76559998976.0,210181996544.0,buy,2.17647,114.8,130.0,85.0,15.0,49900.0,NYQ,EQUITY,cube4_cluster0,2
ABNB,Consumer Cyclical,Travel Services,72770330624,United States,"Airbnb, Inc.",28.847416,27.30889,,9.680189,6.284139,66163642368.0,24.93,,,0.0,,0.22668,0.19767,0.8323,0.33262002,0.061079998,0.127,0.016,0.157,1.109,163.93,99.88,-0.10812634,1.232,0.613,29.324,2281999872.0,11356000256.0,hold,2.62222,137.96857,180.0,98.0,35.0,7300.0,NMS,EQUITY,cube2_cluster1,2
PNC,Financial Services,Banks - Regional,74446544896,United States,"The PNC Financial Services Group, Inc.",12.767833,12.64024,,1.441564,3.505016,131919077376.0,,3.64,6.8,0.4375,3.48,0.29228002,0.37432998,0.0,0.11373,0.01125,0.045,0.137,0.115,1.109,216.26,145.12,-0.028179288,,,,62477000704.0,11075999744.0,buy,1.95652,222.47726,240.0,191.0,22.0,53175.0,NYQ,EQUITY,cube2_cluster0,2
TDG,Industrials,Aerospace & Defense,73958621184,United States,TransDigm Group Incorporated,42.919556,30.185833,,-14.772195,8.619886,96230621184.0,22.046,,,0.0,,0.22517,0.46804002,0.59755003,,0.112320006,0.093,0.064,0.067,1.002,1623.83,1183.6,-0.0700745,3.128,2.078,,25076000768.0,2812000000.0,buy,1.55,1569.6842,1750.0,1370.0,19.0,16600.0,NYQ,EQUITY,cube2_cluster0,2
USB,Financial Services,Banks - Regional,73280962560,United States,U.S. Bancorp,11.028103,10.875289,,1.3431644,2.8670173,101315960832.0,,4.51,2.08,0.47849998,4.15,0.26999,0.37334,0.0,0.11667,0.010140001,0.033,0.144,0.132,1.076,53.98,35.18,-0.017872334,,,,82776997888.0,62008000512.0,buy,2.04167,55.14783,66.0,50.0,23.0,70000.0,NYQ,EQUITY,cube2_cluster0,2
EMR,Industrials,Specialty Industrial Machinery,73034555392,United States,Emerson Electric Co.,33.020355,20.533228,,3.6755793,4.1076803,85700558848.0,17.515,1.65,2.11,0.5418,2.14,0.14920999,0.2025,0.52705,0.09155,0.048520003,0.04,0.813,0.781,1.279,150.27,90.06,0.17327225,0.845,0.591,74.771,14869000192.0,2219000064.0,buy,1.81481,150.3077,183.0,111.0,26.0,73000.0,NYQ,EQUITY,cube2_cluster0,2
APO,Financial Services,Asset Management,73013493760,United States,"Apollo Global Management, Inc.",23.813433,15.0518875,,4.0736604,2.9057784,92865953792.0,,1.67,2.04,0.354,2.53,0.13408,0.15245,0.41414002,0.16735001,0.0136,0.131,-0.267,-0.261,1.668,189.49,102.58,-0.1350053,1.708,1.634,102.676,34766999552.0,27878000640.0,buy,1.8,153.27647,177.0,117.7,17.0,5333.0,NYQ,EQUITY,cube1_cluster1,2
MAR,Consumer Cyclical,Lodging,72742551552,United States,"Marriott International, Inc.",29.675528,25.280188,,-24.600203,10.724244,88607555584.0,20.156,1.02,2.68,0.2883,1.29,0.3637,0.68653,0.8169,,0.09375,0.059,0.033,-0.012,1.346,307.52,205.4,0.010284781,0.492,0.446,,16536000512.0,671000000.0,buy,2.42308,284.83334,332.0,205.0,24.0,418000.0,NMS,EQUITY,cube2_cluster0,2
GLW,Technology,Electronic Components,73240903680,United States,Corning Incorporated,90.97849,36.62771,,6.157933,5.1556315,79915507712.0,25.107,1.31,1.12,1.1915001,2.76,0.05765,0.14965999,0.35408002,0.082770005,0.04131,0.188,3.5,3.51,1.131,87.78,37.31,0.8684441,1.497,0.692,73.616,8498999808.0,1491000064.0,buy,1.69231,77.75,93.0,47.0,12.0,56300.0,NYQ,EQUITY,cube4_cluster0,2
ITW,Industrials,Specialty Industrial Machinery,72318230528,United States,Illinois Tool Works Inc.,21.461071,23.185982,,22.529058,4.580002,80468238336.0,17.744,2.63,6.44,0.5268,2.21,0.21311001,0.26598,0.43743,1.09023,0.16344,0.006,0.016,-0.005,1.113,279.13,214.66,-0.06462598,1.585,1.045,278.325,8936999936.0,788000000.0,hold,3.27778,261.0,298.0,215.0,16.0,44000.0,NYQ,EQUITY,cube2_cluster0,2
UPS,Industrials,Integrated Freight & Logistics,70500843520,United States,"United Parcel Service, Inc.",12.378498,9.540295,,4.5253863,0.78062785,93888225280.0,8.166,7.89,6.56,0.9732,3.8,0.06345,0.09019,0.2155,0.34907,0.069699995,-0.027,-0.083,-0.089,1.078,145.01,82.0,-0.37832588,1.324,1.193,183.235,28909000704.0,6286000128.0,buy,2.25806,100.5,133.0,75.0,30.0,490000.0,NYQ,EQUITY,cube1_cluster0,2
JCI,Industrials,Building Products & Equipment,70575464448,Ireland,Johnson Controls International plc,35.476974,25.739857,,4.4582696,3.0157876,82704465920.0,20.723,1.5,1.6,0.49330002,2.03,0.09533,0.13665,0.36360002,0.11653,0.046329997,0.026,-0.266,-0.281,1.344,112.63,68.03,0.38877285,0.959,0.558,68.319,11644999680.0,731000000.0,buy,2.13636,115.21053,133.0,79.0,19.0,94000.0,NYQ,EQUITY,cube3_cluster0,2
RSG,Industrials,Waste Management,70086205440,United States,"Republic Services, Inc.",33.011765,32.963287,,5.812231,4.2824273,83182206976.0,16.177,1.12,2.5,0.3432,1.3,0.12972,0.20542999,0.43383,0.18414,0.0641,0.046,0.08,0.074,0.601,258.75,197.61,0.080149174,0.662,0.596,109.658,13216000000.0,122000000.0,buy,1.95833,258.5455,290.0,189.0,22.0,42000.0,NYQ,EQUITY,cube3_cluster0,2
VST,Utilities,Utilities - Independent Power Producers,70999793664,United States,Vistra Corp.,33.690163,29.784058,,29.693686,3.836168,89715965952.0,13.201,0.43,0.9,0.1428,2.15,0.12903,0.13976,0.40647,0.39298,0.06063,0.105,-0.1,-0.104,1.34,219.82,90.51,0.63340867,0.899,0.287,373.842,18079000576.0,483000000.0,buy,1.66667,225.14056,325.0,86.0,18.0,6850.0,NYQ,EQUITY,cube3_cluster1,2
AZO,Consumer Cyclical,Auto Parts,68292665344,United States,"AutoZone, Inc.",28.24899,23.267496,,-19.797003,3.6059818,79614918656.0,19.117,,,0.0,,0.13191,0.19159001,0.52625,,0.12353,0.006,-0.056,-0.072,0.398,4388.11,2980.1,0.32192576,0.876,0.029,,12293651456.0,271803008.0,buy,1.59259,4569.773,4900.0,2900.0,22.0,,NYQ,EQUITY,cube3_cluster0,2
FI,Technology,Information Technology Services,67470782464,United States,"Fiserv, Inc.",20.48185,12.18057,,2.6778278,3.19585,96725786624.0,10.236,,,0.0,,0.16004999,0.30801,0.61136,0.12457,0.04533,0.08,0.216,0.148,0.95,238.59,121.4,-0.3683641,1.089,0.22,115.305,29706000384.0,999000000.0,buy,1.51515,181.84666,250.0,125.0,30.0,38000.0,NYQ,EQUITY,cube0_cluster1,2
CSX,Industrials,Railroads,67356327936,United States,CSX Corporation,21.89697,17.79803,,5.444545,4.758483,86785327104.0,13.078,1.46,0.52,0.3067,1.29,0.21915,0.36094,0.46881,0.24819,0.07249,-0.034,-0.102,-0.139,1.286,37.25,26.22,0.0019718409,0.773,0.604,160.111,19817000960.0,393000000.0,buy,1.74074,38.6,44.0,27.0,25.0,23500.0,NMS,EQUITY,cube2_cluster0,2
MNST,Consumer Defensive,Beverages - Non-Alcoholic,66992738304,United States,Monster Beverage Corporation,41.581818,36.68984,,9.315682,8.746742,64986042368.0,28.471,,,0.0,,0.20542999,0.29912,0.55184,0.241,0.16301,0.111,0.22,0.149,0.541,70.06,45.7,0.2761308,3.519,2.856,0.911,65483000.0,2072179968.0,buy,2.16,68.0,79.0,50.0,22.0,5527.0,NMS,EQUITY,cube3_cluster0,2
PYPL,Financial Services,Credit Services,66064420864,United States,"PayPal Holdings, Inc.",14.744137,14.141105,,3.2861285,2.0458448,68228415488.0,10.439,,,0.0,,0.1449,0.19293,0.41682,0.22923,0.04614,0.051,0.194,0.118,1.446,93.66,55.85,-0.13438088,1.329,0.249,60.254,12172000256.0,10008000512.0,buy,2.42857,82.5129,120.0,62.0,31.0,24400.0,NMS,EQUITY,cube1_cluster1,2
ADSK,Technology,Software - Application,65597607936,United States,"Autodesk, Inc.",64.14017,33.397602,,24.05382,9.931507,65801670656.0,41.229,,,0.0,0.48,0.15791,0.25865,0.92036,0.402,0.09272,0.171,0.123,0.11,1.491,329.09,232.67,0.075013995,0.764,0.606,100.7,2734000128.0,2236000000.0,buy,1.6,363.7143,430.0,300.0,28.0,15300.0,NMS,EQUITY,cube2_cluster0,2
TEL,Technology,Electronic Components,65197993984,Ireland,TE Connectivity plc,45.03061,24.543938,,5.2724013,3.9320905,70724993024.0,17.708,1.29,2.84,0.5473,1.61,0.087749995,0.19652,0.34992,0.11512,0.08291,0.139,0.151,0.113,1.254,226.4,116.3,0.499624,1.525,0.823,48.355,6056000000.0,672000000.0,buy,1.72222,232.70589,290.0,155.0,17.0,85000.0,NYQ,EQUITY,cube4_cluster0,2
NSC,Industrials,Railroads,65141985280,United States,Norfolk Southern Corporation,19.57586,21.377762,,4.4097943,5.349153,81805950976.0,13.508,1.86,5.4,0.3646,2.0,0.27509,0.37267,0.49729002,0.24129999,0.06751,0.022,0.049,0.042,1.32,302.24,201.63,0.13856018,0.793,0.662,121.059,17901000704.0,1303000064.0,buy,2.43478,312.5263,367.0,285.0,19.0,19600.0,NYQ,EQUITY,cube3_cluster0,2
URI,Industrials,Rental & Leasing Services,64373395456,United States,"United Rentals, Inc.",25.252398,21.350832,,7.136946,4.087459,78280392704.0,17.303,0.73,7.16,0.17719999,,0.16108999,0.25615,0.39514,0.29302,0.08971,0.045,0.005,-0.022,1.727,1007.97,525.91,0.16896176,0.859,0.711,159.989,14455000064.0,548000000.0,buy,2.0,1001.7368,1400.0,620.0,19.0,27900.0,NYQ,EQUITY,cube3_cluster0,2
PWR,Industrials,Engineering & Construction,64310964224,United States,"Quanta Services, Inc.",66.707886,42.480316,,8.155707,2.4684734,68920066048.0,29.851,0.09,0.4,0.060500003,0.18,0.0373,0.05768,0.15037,0.13727,0.05151,0.211,0.206,0.218,1.038,443.97,227.08,0.4105518,1.368,1.212,64.907,5107389952.0,509460000.0,buy,1.93333,425.92,521.0,248.0,25.0,58400.0,NYQ,EQUITY,cube3_cluster1,2
FTNT,Technology,Software - Infrastructure,64519598080,United States,"Fortinet, Inc.",33.5,34.47303,,30.873281,10.179965,60187181056.0,28.853,,,0.0,,0.30603,0.28018,0.81289,1.65171,0.13018,0.136,0.163,0.159,1.098,114.82,70.12,0.01887703,1.328,1.21,52.839,1088700032.0,4562899968.0,hold,2.62791,90.32171,120.0,67.0,35.0,14898.0,NMS,EQUITY,cube2_cluster1,2
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,63579107328,United States,Zoetis Inc.,24.523079,22.62776,,12.796361,6.774545,68944101376.0,17.393,1.41,2.0,0.3208,0.79,0.27832,0.4065,0.71497,0.52772,0.15444,0.042,0.175,0.151,0.902,196.55,139.34,-0.2605645,1.76,0.889,137.01,6818999808.0,1454000000.0,buy,1.83333,188.82933,230.0,152.0,15.0,13800.0,NYQ,EQUITY,cube1_cluster1,2
CL,Consumer Defensive,Household & Personal Products,63364513792,United States,Colgate-Palmolive Company,21.65746,20.310883,,90.21864,3.1685426,71060512768.0,14.731,2.7,2.08,0.56740004,2.29,0.14541,0.20861,0.60621,3.9804401,0.15562999,0.01,0.022,0.016,0.335,102.61,76.68,-0.2419498,0.885,0.47,832.51,8757999616.0,1412000000.0,buy,2.09524,90.73684,105.0,80.0,19.0,34000.0,NYQ,EQUITY,cube1_cluster1,2
WDAY,Technology,Software - Application,63172198400,United States,"Workday, Inc.",109.80555,28.575903,,6.904401,7.0512557,58917060608.0,53.222,,,0.0,,0.06507,0.10604999,0.75578004,0.06656,0.02815,0.126,0.714,0.727,1.104,294.0,205.33,-0.033615172,2.105,1.993,41.169,3776000000.0,8185999872.0,buy,1.7,282.1265,340.0,230.0,37.0,19517.0,NMS,EQUITY,cube2_cluster0,2
AEP,Utilities,Utilities - Regulated Electric,63309000704,United States,"American Electric Power Company, Inc.",17.131693,20.098473,,2.118506,3.0633337,110591606784.0,12.901,3.18,3.72,0.5381,3.57,0.1766,0.28184,0.48759997,0.13013,0.031600002,0.111,2.578,2.602,0.464,119.06,89.91,0.17198479,0.552,0.293,150.555,46624600064.0,439300000.0,hold,2.52632,116.83333,133.0,108.5,15.0,16330.0,NMS,EQUITY,cube4_cluster0,2
HLT,Consumer Cyclical,Lodging,63126003712,United States,Hilton Worldwide Holdings Inc.,40.482655,33.59199,,-13.787436,13.077689,74489004032.0,28.905,0.23,0.6,0.0923,0.8,0.32919,0.58446,0.77087,,0.09549,0.054,0.102,0.045,1.189,279.81,196.04,0.11536503,0.538,0.446,,11692999680.0,371000000.0,buy,2.32,275.58334,311.0,229.0,24.0,181000.0,NYQ,EQUITY,cube2_cluster0,2
TRV,Financial Services,Insurance - Property & Casualty,62055895040,United States,"The Travelers Companies, Inc.",11.963542,12.971294,,2.1019883,1.2972093,64820891648.0,8.545,1.63,4.4,0.188,2.02,0.10966,0.16341999,0.26832,0.19294001,0.03215,0.074,1.852,1.826,0.519,287.95,230.23,0.12246764,0.321,0.189,27.217,8033999872.0,5269000192.0,buy,2.48,295.4,320.0,233.0,20.0,34000.0,NYQ,EQUITY,cube3_cluster0,2
COR,Healthcare,Medical Distribution,61639593984,United States,"Cencora, Inc.",32.574795,19.433372,,31.123837,0.19465889,69784715264.0,15.275,0.69,2.2,0.2218,1.13,0.00599,0.012200001,0.03401,1.16705,0.03103,0.087,0.455,0.422,0.629,319.87,223.92,0.35981464,0.905,0.497,459.175,10147275776.0,2231852032.0,buy,1.75,333.7143,361.0,274.0,14.0,51000.0,NYQ,EQUITY,cube4_cluster0,2
REGN,Healthcare,Biotechnology,59647909888,United States,"Regeneron Pharmaceuticals, Inc.",14.06534,12.637386,,1.9913058,4.1963606,54606929920.0,12.225,0.63,3.52,0.0444,,0.31367,0.29641,0.47351003,0.15336001,0.06656,0.036,0.032,-0.028,0.307,1024.36,476.49,-0.45133936,4.598,3.567,9.035,2705100032.0,7469599744.0,buy,1.73077,722.758,890.0,543.0,25.0,15182.0,NMS,EQUITY,cube1_cluster0,2
KMI,Energy,Oil & Gas Midstream,60751601664,United States,"Kinder Morgan, Inc.",22.385244,21.674603,,1.9722683,3.8043458,94719942656.0,14.093,4.28,1.17,0.9467,5.92,0.17058,0.28500998,0.49997002,0.08875,0.03827,0.132,0.241,0.243,0.788,31.48,23.94,0.10420036,0.684,0.424,102.275,32810999808.0,87000000.0,buy,1.95455,31.05762,38.0,24.0,21.0,10933.0,NYQ,EQUITY,cube2_cluster0,2
FCX,Basic Materials,Copper,60259438592,United States,Freeport-McMoRan Inc.,31.795454,19.430555,,3.3075893,2.333828,77971415040.0,8.107,1.4,0.6,0.45450002,3.73,0.07452,0.32076,0.39167,0.14645,0.078660004,0.145,0.262,0.253,1.582,50.12,27.66,-0.09517765,2.465,1.068,30.841,9251000320.0,4489999872.0,buy,2.09524,46.565,55.0,25.0,20.0,28500.0,NYQ,EQUITY,cube2_cluster1,2
AFL,Financial Services,Insurance - Life,59639058432,United States,Aflac Incorporated,24.835192,15.552301,,2.1925323,3.7485268,65260060672.0,18.938,2.1,2.32,0.48650002,2.22,0.15317,0.2101,0.41389,0.09154,0.01733,-0.19,-0.642,-0.659,0.849,115.44,96.95,-0.032722175,1.219,1.111,55.055,14974999552.0,9354000384.0,hold,2.92308,110.0,130.0,99.0,13.0,12694.0,NYQ,EQUITY,cube2_cluster0,2
SRE,Utilities,Utilities - Diversified,59590307840,United States,Sempra,22.060389,17.768484,,1.9335648,4.468379,105854304256.0,19.377,2.83,2.58,0.61259997,3.13,0.20351,0.18433,0.41752,0.08641,0.01924,-0.004,-0.369,-0.348,0.661,95.77,61.9,0.08496964,0.484,0.275,101.705,38948999168.0,173000000.0,buy,2.13333,90.84615,105.0,80.0,13.0,16773.0,NYQ,EQUITY,cube2_cluster1,2
EOG,Energy,Oil & Gas E&P,59906400256,United States,"EOG Resources, Inc.",10.635478,9.866184,,2.0377219,2.6277041,58958802944.0,4.993,3.72,4.08,0.3657,2.56,0.25143,0.32806,0.61716,0.19631,0.100200005,-0.113,-0.166,-0.204,0.76,138.18,102.52,-0.13796353,1.786,1.492,15.719,4595999744.0,5216000000.0,buy,2.12121,139.16667,170.0,122.0,30.0,3150.0,NYQ,EQUITY,cube1_cluster1,2
DLR,Real Estate,REIT - Specialty,59586637824,United States,"Digital Realty Trust, Inc.",44.994766,142.04959,,2.637329,10.480505,77788880896.0,30.105,2.84,4.88,1.2808,3.45,0.24323,0.15001,0.54517,0.05835,0.01028,0.126,13.786,11.867,0.974,198.0,129.95,0.06420195,1.602,1.563,80.668,20055508992.0,3565385984.0,buy,1.78571,195.625,220.0,141.0,24.0,3936.0,NYQ,EQUITY,cube2_cluster0,2
APD,Basic Materials,Specialty Chemicals,58309050368,United States,"Air Products and Chemicals, Inc.",37.05799,18.489767,,3.752775,4.835755,76578856960.0,17.527,2.74,7.16,1.0099,2.34,0.12859,0.24295999,0.31871,0.09336001,0.045100003,0.012,0.024,0.025,0.839,341.14,243.69,-0.1929586,1.292,1.025,103.39,18370400256.0,2331099904.0,buy,1.86957,319.9524,355.0,275.0,21.0,21850.0,NYQ,EQUITY,cube2_cluster0,2
CMI,Industrials,Specialty Industrial Machinery,57408548864,United States,Cummins Inc.,19.156322,18.501331,,4.8696823,1.7025074,64180551680.0,12.312,1.96,8.0,0.3413,2.42,0.08722,0.13016,0.25958002,0.2615,0.07891,-0.017,0.222,0.226,1.038,440.51,260.02,0.2294097,1.642,0.867,68.065,8762000384.0,3073999872.0,buy,2.42857,435.5071,500.0,350.0,17.0,69600.0,NYQ,EQUITY,cube3_cluster0,2
